date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:24	19867/19867	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-4d9b%22	https://floriandambrine.com/portfolio/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/index.html	(from https://floriandambrine.com/)
16:15:24	727/727	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22602e847a-2d7%22	https://floriandambrine.com/images/illustrations/leaf-pink-round.svg	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/illustrations/leaf-pink-round.svg	(from https://floriandambrine.com/)
16:15:24	1083/1083	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22602e847a-43b%22	https://floriandambrine.com/images/illustrations/leaf-cyan-2.svg	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/illustrations/leaf-cyan-2.svg	(from https://floriandambrine.com/)
16:15:24	5860/5860	---M--	200	added ('OK')	image/png	etag:%22602e847a-16e4%22	https://floriandambrine.com/images/experience/icon-1.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/experience/icon-1.png	(from https://floriandambrine.com/)
16:15:25	5756/5756	---M--	200	added ('OK')	image/png	etag:%22602e847a-167c%22	https://floriandambrine.com/images/experience/icon-3.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/experience/icon-3.png	(from https://floriandambrine.com/)
16:15:25	27323/27323	---M--	200	added ('OK')	image/png	etag:%22602e847a-6abb%22	https://floriandambrine.com/images/backgrounds/education-bg.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/backgrounds/education-bg.png	(from https://floriandambrine.com/)
16:15:25	7350/7350	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-1cb6%22	https://floriandambrine.com/contact/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/contact/index.html	(from https://floriandambrine.com/)
16:15:25	357933/357933	---M--	200	added ('OK')	image/png	etag:%22602e847a-5762d%22	https://floriandambrine.com/images/portfolio/pritunl.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/pritunl.png	(from https://floriandambrine.com/)
16:15:25	62110/62110	---M--	200	added ('OK')	image/jpeg	etag:%22602e847a-f29e%22	https://floriandambrine.com/images/portfolio/tiad2.jpg	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/tiad2.jpg	(from https://floriandambrine.com/)
16:15:26	132117/132117	---M--	200	added ('OK')	image/png	etag:%22602e847a-20415%22	https://floriandambrine.com/images/portfolio/docker.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/docker.png	(from https://floriandambrine.com/)
16:15:26	306045/306045	---M--	200	added ('OK')	image/png	etag:%22602e847a-4ab7d%22	https://floriandambrine.com/images/portfolio/vault.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/vault.png	(from https://floriandambrine.com/)
16:15:26	25371/25371	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-631b%22	https://floriandambrine.com/fr/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/fr/index.html	(from https://floriandambrine.com/)
16:15:26	84755/84755	---M--	200	added ('OK')	image/png	etag:%22602e847a-14b13%22	https://floriandambrine.com/images/portfolio/ansible-meetup.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/ansible-meetup.png	(from https://floriandambrine.com/)
16:15:26	177031/177031	---M--	200	added ('OK')	image/png	etag:%22602e847a-2b387%22	https://floriandambrine.com/images/portfolio/cassandra.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/cassandra.png	(from https://floriandambrine.com/)
16:15:26	60706/60706	---M--	200	added ('OK')	image/png	etag:%22602e847a-ed22%22	https://floriandambrine.com/images/portfolio/fluentd.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/fluentd.png	(from https://floriandambrine.com/)
16:15:27	28374/28374	---M--	200	added ('OK')	image/png	etag:%22602e847a-6ed6%22	https://floriandambrine.com/images/portfolio/wordle.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/wordle.png	(from https://floriandambrine.com/)
16:15:27	103965/103965	---M--	200	added ('OK')	image/png	etag:%22602e847a-1961d%22	https://floriandambrine.com/images/portfolio/icinga.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/portfolio/icinga.png	(from https://floriandambrine.com/)
16:15:27	9476/9476	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-2504%22	https://floriandambrine.com/portfolio/2016-11-pritunl-multiregion-peering/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2016-11-pritunl-multiregion-peering/index.html	(from https://floriandambrine.com/)
16:15:27	1532605/1532605	---M--	200	added ('OK')	image/png	etag:%22602e847a-1762bd%22	https://floriandambrine.com/images/blog/ops-talks.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/blog/ops-talks.png	(from https://floriandambrine.com/)
16:15:27	241016/241016	---M--	200	added ('OK')	image/png	etag:%22602e847a-3ad78%22	https://floriandambrine.com/images/blog/karrot-lag-reporting.png	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/images/blog/karrot-lag-reporting.png	(from https://floriandambrine.com/)
16:15:27	0/0	---M--	200	added ('OK')	application/javascript	etag:%22602e847a-0%22	https://floriandambrine.com/plugins/word-typing.js	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/word-typing.js	(from https://floriandambrine.com/)
16:15:28	88144/88144	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602e847a-15850%22	https://floriandambrine.com/plugins/jQuery/jquery.min.js	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/jQuery/jquery.min.js	(from https://floriandambrine.com/)
16:15:28	60176/60176	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602e847a-eb10%22	https://floriandambrine.com/plugins/bootstrap/bootstrap.min.js	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/bootstrap/bootstrap.min.js	(from https://floriandambrine.com/)
16:15:28	10269/10269	---M-Z	200	added ('OK')	text/html	etag:W/%22602e847a-281d%22	https://floriandambrine.com/portfolio/2016-10-tiad-speaker/	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/portfolio/2016-10-tiad-speaker/index.html	(from https://floriandambrine.com/)
16:15:28	44394/44394	---M-Z	200	added ('OK')	application/javascript	etag:W/%22602e847a-ad6a%22	https://floriandambrine.com/plugins/slick/slick.min.js	C:/Users/berra/Desktop/bot%20museliere/portfolio/floriandambrine.com/plugins/slick/slick.min.js	(from https://floriandambrine.com/)
